,i,AC_start,trig_start,FI_start,SI_start,sv,state,sustainability,amplitude_mean,amplitude_std_dev,period,period_std_dev
283,283.0,0.04,0.0005,0.0649999999999999,1.4,0.000175,0,0,0,0,0,0
284,284.0,0.04,0.0005,0.0649999999999999,1.4,0.0001999999999999,0,0,0,0,0,0
285,285.0,0.04,0.0005,0.0649999999999999,1.6,0.0001,0,0,0,0,0,0
286,286.0,0.04,0.0005,0.0649999999999999,1.6,0.000125,0,0,0,0,0,0
287,287.0,0.04,0.0005,0.0649999999999999,1.6,0.00015,0,0,0,0,0,0
288,288.0,0.04,0.0005,0.0649999999999999,1.6,0.000175,0,0,0,0,0,0
289,289.0,0.04,0.0005,0.0649999999999999,1.6,0.0001999999999999,0,0,0,0,0,0
290,290.0,0.04,0.0005,0.0649999999999999,1.8,0.0001,0,0,0,0,0,0
291,291.0,0.04,0.0005,0.0649999999999999,1.8,0.000125,0,0,0,0,0,0
292,292.0,0.04,0.0005,0.0649999999999999,1.8,0.00015,0,0,0,0,0,0
293,293.0,0.04,0.0005,0.0649999999999999,1.8,0.000175,0,0,0,0,0,0
294,294.0,0.04,0.0005,0.0649999999999999,1.8,0.0001999999999999,0,0,0,0,0,0
295,295.0,0.04,0.0005,0.0649999999999999,2.0,0.0001,0,0,0,0,0,0
296,296.0,0.04,0.0005,0.0649999999999999,2.0,0.000125,0,0,0,0,0,0
297,297.0,0.04,0.0005,0.0649999999999999,2.0,0.00015,0,0,0,0,0,0
298,298.0,0.04,0.0005,0.0649999999999999,2.0,0.000175,0,0,0,0,0,0
299,299.0,0.04,0.0005,0.0649999999999999,2.0,0.0001999999999999,0,0,0,0,0,0
300,300.0,0.04,0.0005,0.0699999999999999,0.2,0.0001,0,0,0,0,0,0
301,301.0,0.04,0.0005,0.0699999999999999,0.2,0.000125,0,0,0,0,0,0
302,302.0,0.04,0.0005,0.0699999999999999,0.2,0.00015,0,0,0,0,0,0
303,303.0,0.04,0.0005,0.0699999999999999,0.2,0.000175,0,0,0,0,0,0
304,304.0,0.04,0.0005,0.0699999999999999,0.2,0.0001999999999999,0,0,0,0,0,0
305,305.0,0.04,0.0005,0.0699999999999999,0.4,0.0001,0,0,0,0,0,0
